Room,Task,Credits,,,
1406,Stay over,15,,,Departure Clean
1408,Departure Clean,25,,,StayoverFullLinen
1409,StayoverFullLinen,25,,,Stay over
1410,Stay over,15,,,
1411,Stay over,15,,,
1413,Departure Clean,25,,,
1416,Departure Clean,25,,,
1417,Departure Clean,25,,,
1514,Departure Clean,25,,,
1515,Departure Clean,25,,,
1516,Departure Clean,25,,,
